1.0.-Etxebizitza salerosketak. 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;92.211,00;48.691,00;43.520,00;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.208,00;1.968,00;2.240,00;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;17.240,00;9.559,00;7.681,00;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.329,00;970,00;1.359,00;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.192,00;1.343,00;849,00;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.122,00;1.122,00;1.000,00;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.844,00;2.171,00;1.673,00;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.259,00;814,00;445,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.692,00;2.415,00;2.277,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;5.008,00;3.093,00;1.915,00;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;12.760,00;5.549,00;7.211,00;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.635,00;638,00;997,00;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.423,00;3.039,00;1.384,00;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;13.685,00;7.231,00;6.454,00;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.906,00;1.608,00;1.298,00;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.497,00;922,00;575,00;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;821,00;426,00;395,00;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;11.590,00;5.823,00;5.767,00;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;762,00;462,00;300,00;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;302,00;90,00;212,00;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;495,00;109,00;386,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;133,00;66,00;67,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.245,00;585,00;660,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.192,00;629,00;563,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;815,00;493,00;322,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;30,00;4,00;26,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;191,00;79,00;112,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.363,00;519,00;844,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;609,00;205,00;404,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;162,00;134,00;28,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;138,00;106,00;32,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;47,00;21,00;26,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;17,00;16,00;1,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;34,00;-;-;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;68,00;15,00;53,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;191,00;170,00;21,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;12,00;8,00;4,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;262,00;55,00;207,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;190,00;82,00;108,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 01;12,00;1,00;11,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 02;43,00;25,00;18,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 03;159,00;102,00;57,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 04;155,00;75,00;80,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 05;43,00;14,00;29,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 06;332,00;240,00;92,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 01;10,00;-;-;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 02;23,00;-;-;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 03;14,00;6,00;8,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 04;136,00;4,00;132,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 05;68,00;45,00;23,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 06;48,00;33,00;15,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 01;79,00;33,00;46,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 02;46,00;-;-;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 03;26,00;-;-;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 04;40,00;1,00;39,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 05;81,00;6,00;75,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 06;103,00;52,00;51,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 07;82,00;6,00;76,00;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 08;30,00;10,00;20,00;;;;;;;
;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;1.744,33;1.746,15;1.742,45;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.900,36;3.208,33;2.710,52;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.368,08;1.374,01;1.360,71;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.613,11;1.921,93;1.421,81;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.604,38;1.765,82;1.343,30;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.986,82;2.069,81;1.890,59;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.508,33;1.433,76;1.603,98;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.767,26;1.772,78;1.758,75;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.295,90;1.426,58;1.172,98;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.070,42;1.187,65;930,82;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.200,78;2.167,36;2.225,66;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;865,13;1.139,93;692,41;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.520,98;1.555,38;1.443,79;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.531,64;2.525,95;2.536,82;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.248,29;1.318,44;1.164,97;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.743,04;1.760,28;1.728,00;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.470,91;1.578,32;1.342,84;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.428,42;1.466,06;1.388,81;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.339,00;2.697,31;2.184,76;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.053,78;3.939,68;4.129,52;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;3.378,47;5.089,66;2.849,46;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.767,49;1.472,00;1.952,17;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.684,12;2.894,60;2.560,49;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.914,69;3.116,35;2.727,96;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;2.248,22;2.504,47;2.131,47;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.843,01; - ; - ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;2.455,02;2.905,65;2.345,64;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;3.144,83;3.644,48;2.847,78;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.437,01;3.444,32;3.433,08;;;;;;;
