1.0.-Etxebizitza salerosketak. 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;83.235,00;41.666,00;41.569,00;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.940,00;1.322,00;1.618,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;16.508,00;9.213,00;7.295,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.106,00;839,00;1.267,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.530,00;810,00;720,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.114,00;921,00;1.193,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.660,00;2.208,00;1.452,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.139,00;620,00;519,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.107,00;2.045,00;2.062,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;4.270,00;2.253,00;2.017,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;11.382,00;4.202,00;7.180,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.596,00;566,00;1.030,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.510,00;2.347,00;1.163,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;11.200,00;5.308,00;5.892,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.694,00;1.285,00;1.409,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;865,00;433,00;432,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;835,00;517,00;318,00;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;12.779,00;6.777,00;6.002,00;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;618,00;411,00;207,00;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;190,00;57,00;133,00;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;440,00;107,00;333,00;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;52,00;25,00;27,00;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;724,00;258,00;466,00;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;857,00;444,00;413,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;637,00;416,00;221,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;31,00;-;-;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;131,00;13,00;118,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.024,00;369,00;655,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;498,00;181,00;317,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;169,00;143,00;26,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;73,00;51,00;22,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;33,00;12,00;21,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;10,00;3,00;7,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;11,00;-;-;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;28,00;12,00;16,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;74,00;40,00;34,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;6,00;5,00;1,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;80,00;33,00;47,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;76,00;13,00;63,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;12,00;-;-;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;31,00;19,00;12,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;124,00;75,00;49,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;145,00;109,00;36,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;44,00;13,00;31,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;228,00;166,00;62,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 01;7,00;-;-;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 02;45,00;1,00;44,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 03;19,00;11,00;8,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 04;47,00;2,00;45,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 05;33,00;21,00;12,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 06;37,00;21,00;16,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 01;67,00;28,00;39,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 02;38,00;8,00;30,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 03;28,00;-;-;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 04;37,00;-;-;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 05;71,00;9,00;62,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 06;86,00;34,00;52,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 07;63,00;1,00;62,00;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 08;27,00;8,00;19,00;;;;;;;;;;;
;;;;;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.570,15;1.541,48;1.597,85;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.752,42;2.887,03;2.663,21;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.345,66;1.358,18;1.329,76;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.515,75;1.852,51;1.316,08;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.400,04;1.600,77;1.153,42;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.930,15;1.957,79;1.907,61;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.410,39;1.350,60;1.499,87;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.599,30;1.528,51;1.671,93;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.185,16;1.311,11;1.064,74;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;945,28;1.070,58;819,22;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.916,24;1.810,25;1.977,69;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;797,83;953,50;717,99;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.404,11;1.412,87;1.386,35;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.263,09;2.188,24;2.321,66;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.171,29;1.179,38;1.163,73;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.557,84;1.583,43;1.539,15;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.379,25;1.434,20;1.297,70;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.248,75;1.288,76;1.201,75;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.270,52;2.431,58;1.952,71;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.074,62;3.509,26;4.278,78;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;3.034,74;4.209,78;2.673,86;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.772,73;1.824,32;1.705,96;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.640,17;2.895,03;2.499,27;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.707,28;2.846,21;2.609,55;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;2.231,32;2.410,37;1.896,91;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;2.189,02; - ; - ;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;2.227,55;2.189,10;2.238,68;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.928,18;3.401,93;2.696,98;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.210,26;3.132,13;3.243,58;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.301,71;2.237,75;2.414,41;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.276,69;2.269,89;2.291,38;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.439,08; - ; - ;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.975,16; - ; - ;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;897,20; - ; - ;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;2.408,96;2.568,13;2.235,32;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;2.425,55;2.651,13;2.058,99;;;;;;;;;;;
