1.0.-Etxebizitza salerosketak. 2012ko 4. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;78.281,00;38.572,00;39.709,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.549,00;1.085,00;1.464,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;15.501,00;8.549,00;6.952,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.210,00;893,00;1.317,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.569,00;835,00;734,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.953,00;1.006,00;947,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.643,00;2.227,00;1.416,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.301,00;748,00;553,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.925,00;1.947,00;1.978,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;3.859,00;1.870,00;1.989,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;10.218,00;3.663,00;6.555,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.734,00;765,00;969,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.975,00;2.587,00;1.388,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;10.695,00;4.753,00;5.942,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.293,00;1.162,00;1.131,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;753,00;369,00;384,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;792,00;480,00;312,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;11.311,00;5.633,00;5.678,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;532,00;351,00;181,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;163,00;51,00;112,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;320,00;69,00;251,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;103,00;55,00;48,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;550,00;156,00;394,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;762,00;383,00;379,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;561,00;365,00;196,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;9,00;--;--;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;96,00;23,00;73,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;870,00;304,00;566,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;369,00;106,00;263,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;123,00;101,00;22,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;49,00;33,00;16,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;43,00;20,00;23,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;14,00;13,00;1,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;10,00;--;--;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;71,00;35,00;36,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;48,00;20,00;28,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;9,00;7,00;2,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;37,00;7,00;30,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;121,00;21,00;100,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;15,00;4,00;11,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;17,00;3,00;14,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;182,00;133,00;49,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;135,00;111,00;24,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;25,00;4,00;21,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;151,00;92,00;59,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 01;6,00;--;--;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 02;21,00;2,00;19,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 03;30,00;--;--;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 04;32,00;5,00;27,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 05;45,00;28,00;17,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 06;28,00;15,00;13,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 01;65,00;28,00;37,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 02;37,00;1,00;36,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 03;15,00;--;--;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 04;35,00;--;--;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 05;46,00;6,00;40,00;;;;;;
