1.0.-Etxebizitzen salerosketa kopurua. 2016ko 3. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;103.055,00;17.583,00;85.472,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.711,00;716,00;2.995,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;20.594,00;3.825,00;16.769,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.568,00;538,00;2.030,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.567,00;379,00;1.188,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.538,00;609,00;2.929,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.946,00;882,00;4.064,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.240,00;211,00;1.029,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.223,00;900,00;3.323,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.142,00;476,00;2.666,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;18.216,00;2.172,00;16.044,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.468,00;124,00;1.344,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.299,00;859,00;2.440,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;15.122,00;2.935,00;12.187,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.988,00;487,00;2.501,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.184,00;217,00;967,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;632,00;130,00;502,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;14.617,00;2.123,00;12.494,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;347,00;58,00;289,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;318,00;65,00;253,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;778,00;79,00;699,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;95,00;17,00;78,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;947,00;275,00;672,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.077,00;210,00;867,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;385,00;65,00;320,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;44,00;8,00;36,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;87,00;23,00;64,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.602,00;206,00;1.396,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;859,00;256,00;603,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;112,00;48,00;64,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;90,00;28,00;62,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;44,00;11,00;33,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;11,00;6,00;5,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;13,00;11,00;2,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;58,00;n.d.;n.d.;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;61,00;11,00;50,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;9,00;4,00;5,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;64,00;n.d.;n.d.;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;123,00;27,00;96,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;22,00;1,00;21,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;36,00;7,00;29,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;107,00;14,00;93,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;79,00;9,00;70,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;49,00;4,00;45,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;46,00;20,00;26,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;25,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;71,00;17,00;54,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;7,00;1,00;6,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;81,00;1,00;80,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;54,00;22,00;32,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;73,00;19,00;54,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;98,00;2,00;96,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;56,00;1,00;55,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;31,00;1,00;30,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;67,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;124,00;3,00;121,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;148,00;24,00;124,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;173,00;5,00;168,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;36,00;9,00;27,00;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2016ko 3. hiruhilekoa;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;1.547,11;1.592,06;1.537,89;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.401,48;2.366,92;2.407,63;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.309,72;1.336,15;1.303,75;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.255,01;1.571,35;1.164,22;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.161,60;1.262,92;1.127,47;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.165,28;2.353,54;2.125,83;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.577,03;1.481,27;1.597,90;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.469,41;1.634,36;1.433,43;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;980,17;1.150,72;935,71;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;743,33;911,28;713,38;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.863,33;1.980,72;1.846,48;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;640,17;819,52;625,93;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.207,88;1.229,55;1.200,47;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.205,75;1.960,63;2.265,67;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;982,20;1.058,89;966,85;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.268,19;1.110,60;1.298,25;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;952,99;1.111,54;909,79;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.181,58;1.489,83;1.127,43;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.620,18;1.647,12;1.614,77;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.054,06;3.347,69;4.239,14;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.379,32;3.258,43;2.335,15;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.498,29;932,42;1.602,04;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.243,14;2.300,95;2.230,02;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.303,02;2.179,85;2.329,10;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.617,82;1.626,91;1.615,99;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.903,69; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.825,80; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.385,90;2.633,13;2.361,55;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.090,98;2.778,02;3.169,08;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.121,50;2.095,27;2.139,95;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.955,30;1.770,05;2.029,40;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.143,00; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.645,42; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;595,18; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.589,90; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.836,43; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;1.374,85; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.782,43; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.664,33;2.817,22;2.620,90;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.395,23; n.d. ; n.d. ;;;;;;
