1.0.-Etxebizitzen salerosketa kopurua. 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;111.921,00;19.325,00;92.596,00;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.893,00;686,00;3.207,00;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;22.045,00;3.926,00;18.119,00;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.148,00;598,00;2.550,00;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.004,00;417,00;1.587,00;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.678,00;565,00;3.113,00;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.486,00;1.133,00;4.353,00;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.473,00;248,00;1.225,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.566,00;988,00;3.578,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.029,00;735,00;3.294,00;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;17.498,00;2.522,00;14.976,00;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.640,00;134,00;1.506,00;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.669,00;804,00;2.865,00;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;17.110,00;3.620,00;13.490,00;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.127,00;458,00;2.669,00;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.171,00;243,00;928,00;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;723,00;113,00;610,00;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;16.661,00;2.135,00;14.526,00;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;585,00;142,00;443,00;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;451,00;105,00;346,00;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;608,00;32,00;576,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;112,00;24,00;88,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;794,00;166,00;628,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.312,00;242,00;1.070,00;;;;;;;
