1.0.-Etxebizitzen salerosketa kopurua. 2018ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;
Nazionala/Nacional;ESPAÑA;128.990,00;22.299,00;106.691,00;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.305,00;1.119,00;4.186,00;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;24.208,00;4.199,00;20.009,00;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.375,00;575,00;2.800,00;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.395,00;617,00;1.778,00;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.199,00;763,00;3.436,00;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.440,00;1.296,00;5.144,00;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.721,00;280,00;1.441,00;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.136,00;1.036,00;4.100,00;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.763,00;894,00;3.869,00;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.756,00;3.185,00;17.571,00;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.621,00;139,00;1.482,00;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.946,00;853,00;3.093,00;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;18.855,00;3.895,00;14.960,00;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4.124,00;645,00;3.479,00;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.422,00;282,00;1.140,00;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;848,00;149,00;699,00;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;19.876,00;2.372,00;17.504,00;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;758,00;229,00;529,00;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;540,00;87,00;453,00;;;
Hiriburak/Capitales de TTHH;Bilbao;827,00;46,00;781,00;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;153,00;25,00;128,00;;;
