1.0.-Etxebizitzen salerosketa kopurua. 2018ko 2. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;
Nazionala/Nacional;ESPAÑA;134.196,00;22.659,00;111.537,00;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.164,00;912,00;4.252,00;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;26.487,00;4.359,00;22.128,00;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.578,00;531,00;3.047,00;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.089,00;420,00;1.669,00;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.030,00;606,00;3.424,00;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.686,00;1.452,00;5.234,00;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.596,00;246,00;1.350,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.161,00;923,00;4.238,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.747,00;826,00;3.921,00;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.594,00;2.919,00;17.675,00;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.948,00;162,00;1.786,00;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.270,00;950,00;3.320,00;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;20.128,00;4.348,00;15.780,00;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4.290,00;708,00;3.582,00;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.563,00;324,00;1.239,00;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;962,00;247,00;715,00;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;20.903,00;2.726,00;18.177,00;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;742,00;130,00;612,00;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;488,00;73,00;415,00;;;;;
Hiriburak/Capitales de TTHH;Bilbao;921,00;101,00;820,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;147,00;19,00;128,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.112,00;293,00;819,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.593,00;292,00;1.301,00;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;801,00;137,00;664,00;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;31,00;4,00;27,00;;;;;
