1.0.-Etxebizitzen salerosketa kopurua. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;133.860,00;25.475,00;108.385,00;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.852,00;1.037,00;4.815,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;25.931,00;5.082,00;20.849,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.455,00;707,00;2.748,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.224,00;551,00;1.673,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.731,00;660,00;3.071,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.323,00;1.144,00;4.179,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.770,00;326,00;1.444,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.620,00;957,00;4.663,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;5.427,00;1.109,00;4.318,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;21.877,00;3.557,00;18.320,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.067,00;263,00;1.804,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.454,00;978,00;3.476,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;19.788,00;5.157,00;14.631,00;;;;;;;;;;;;;
