1.0.-Etxebizitza salerosketak. 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;
Nazionala/Nacional;ESPAÑA;129.228,00;28.192,00;101.036,00;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.413,00;1.067,00;4.346,00;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;25.673,00;5.697,00;19.976,00;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.514,00;707,00;2.807,00;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.390,00;534,00;1.856,00;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.889,00;649,00;2.240,00;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.613,00;1.082,00;3.531,00;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.809,00;307,00;1.502,00;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.636,00;1.147,00;4.489,00;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;5.417,00;1.189,00;4.228,00;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.902,00;3.736,00;17.166,00;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.262,00;276,00;1.986,00;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.699,00;1.244,00;3.455,00;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;19.339,00;6.132,00;13.207,00;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4.487,00;781,00;3.706,00;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.683,00;616,00;1.067,00;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.006,00;165,00;841,00;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;17.496,00;2.863,00;14.633,00;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;627,00;101,00;526,00;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;416,00;93,00;323,00;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;784,00;58,00;726,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;175,00;16,00;159,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.254,00;226,00;1.028,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.765,00;513,00;1.252,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;723,00;108,00;615,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;36,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;210,00;64,00;146,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.181,00;489,00;1.692,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;947,00;188,00;759,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;136,00;38,00;98,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;137,00;35,00;102,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;105,00;33,00;72,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;21,00;3,00;18,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;13,00;2,00;11,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;77,00;7,00;70,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;88,00;26,00;62,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;39,00;5,00;34,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;149,00;8,00;141,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;159,00;1,00;158,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;24,00;1,00;23,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;97,00;7,00;90,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;140,00;37,00;103,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;116,00;9,00;107,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;60,00;4,00;56,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;162,00;38,00;124,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;17,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;110,00;53,00;57,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;51,00;2,00;49,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;60,00;4,00;56,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;48,00;2,00;46,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;128,00;32,00;96,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;84,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;93,00;1,00;92,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;62,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;81,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;125,00;6,00;119,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;131,00;25,00;106,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;141,00;18,00;123,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;61,00;8,00;53,00;;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.780,92;2.058,63;1.703,16;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.814,87;3.234,97;2.715,24;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.419,50;1.673,32;1.346,72;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.384,95;1.779,21;1.282,30;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.291,10;1.553,54;1.215,17;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.607,77;2.805,66;2.549,73;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.799,72;1.531,28;1.882,99;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.556,95;1.718,54;1.521,91;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.075,24;1.358,07;1.001,57;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;840,72;1.010,80;792,59;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.222,02;2.417,88;2.177,26;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;713,68;982,65;679,02;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.353,09;1.517,37;1.292,78;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.829,41;2.946,89;2.779,26;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.010,89;1.169,17;975,91;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.680,70;1.904,11;1.568,74;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.023,46;1.120,28;1.003,20;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.278,03;1.719,46;1.186,12;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.257,03;2.573,49;2.201,19;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.765,91;4.861,21;4.737,22;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.728,00;3.836,91;2.664,87;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.674,04; n.d. ; n.d. ;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.746,88;2.880,24;2.715,15;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.686,46;3.157,73;2.514,04;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;2.164,94;2.529,11;2.108,52;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;2.160,46; n.d. ; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;2.206,97;2.615,96;1.956,56;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.765,01;3.386,34;2.613,36;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.761,66;4.242,83;3.638,82;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.348,81;2.439,66;2.307,51;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.887,33;1.624,29;1.979,67;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.435,08;2.404,00;2.448,48;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.937,09; n.d. ; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;1.015,05; n.d. ; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.864,13; n.d. ; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;2.118,51;2.364,61;2.009,14;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.491,18; n.d. ; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.748,67; n.d. ; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;3.493,91; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;2.081,45; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.679,20; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.607,09;3.297,25;2.257,01;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.969,80; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.231,90; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;2.063,40;1.239,10;2.230,49;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.163,24; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;6.182,49;5.765,92;6.590,56;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.808,28; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;5.081,15; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.866,77; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.269,34;3.444,86;3.200,46;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.986,23; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.637,09; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.674,71; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.552,49; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.265,85; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;4.149,75;5.068,66;3.962,22;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.258,82; n.d. ; n.d. ;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.455,47; n.d. ; n.d. ;;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;;
Nazionala/Nacional;ESPAÑA;2.610,00;2.033,13;1.798,76;1.770,07;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.343,21;2.692,76;2.681,18;2.742,78;;;;;;;
