1.0.-Etxebizitzen salerosketa kopurua. 2023ko 1. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2023;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;161.024,00;30.466,00;130.558,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6.110,00;1.212,00;4.898,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;32.309,00;6.788,00;25.521,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.952,00;658,00;3.294,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;3.141,00;512,00;2.629,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.989,00;956,00;3.033,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;7.997,00;1.848,00;6.149,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.167,00;276,00;1.891,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;7.133,00;1.370,00;5.763,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;6.388,00;1.137,00;5.251,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;25.438,00;4.286,00;21.152,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.657,00;290,00;2.367,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;5.088,00;1.093,00;3.995,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;19.814,00;4.759,00;15.055,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;6.068,00;1.004,00;5.064,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.625,00;477,00;1.148,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.218,00;167,00;1.051,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;25.930,00;3.633,00;22.297,00;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;929,00;184,00;745,00;;;;
Lurraldea/TTHH;GIPUZKOA;2.126,00;411,00;1.715,00;;;;
Lurraldea/TTHH;BIZKAIA;3.055,00;617,00;2.438,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;649,00;118,00;531,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;405,00;79,00;326,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;837,00;74,00;763,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;233,00;54,00;179,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.669,00;323,00;1.346,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.134,00;518,00;1.616,00;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;751,00;123,00;628,00;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;53,00;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Goierri;227,00;6,00;221,00;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;2.387,00;436,00;1.951,00;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Behera;1.021,00;178,00;843,00;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;247,00;95,00;152,00;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena;219,00;95,00;124,00;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;148,00;21,00;127,00;;;;
Eskualde Egitura/Áreas funcionales;Arratia;23,00;6,00;17,00;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa;24,00;6,00;18,00;;;;
Eskualde Egitura/Áreas funcionales;Aiara;123,00;45,00;78,00;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena;166,00;74,00;92,00;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;65,00;20,00;45,00;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;102,00;2,00;100,00;;;;
Eskualde Egitura/Áreas funcionales;Urola Kostaldea;371,00;59,00;312,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;27,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;136,00;65,00;71,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;147,00;12,00;135,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;109,00;5,00;104,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;51,00;1,00;50,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;172,00;35,00;137,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;14,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;52,00;1,00;51,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;40,00;1,00;39,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;80,00;4,00;76,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;57,00;4,00;53,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;138,00;46,00;92,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;140,00;39,00;101,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;105,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;41,00;1,00;40,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;75,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;177,00;16,00;161,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;104,00;10,00;94,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;135,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;53,00;7,00;46,00;;;;
Udalerriak >40.000/Municipios >40.000;Irun;158,00;3,00;155,00;;;;
Udalerriak >40.000/Municipios >40.000;Errenteria;109,00;10,00;99,00;;;;
Udalerriak >40.000/Municipios >40.000;Barakaldo;326,00;57,00;269,00;;;;
Udalerriak >40.000/Municipios >40.000;Basauri;65,00;2,00;63,00;;;;
