AÑO;TRIMESTRE;CONCEPTO;DESGLOSE;AMBITO;VIV GENERAL;VIV NUEVA;VIV USADA;CUOTA MES;COSTE SALARIAL;PORCNT SB ING;PLAZO M;INTERES;PIB anual(M);VAR PIB;PIB PER CAPITA;VAR ANUAL PER CAPITA;SAL MEDIO
2023;T2;Num compraventas;Nacional;ESPAÑA;151983;28739;123244;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;PAIS VASCO;5038;663;4375;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;ANDALUCIA;30698;6269;24429;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;ARAGON;3966;819;3147;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;ASTURIAS;3145;656;2489;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;BALEARES;3688;751;2937;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;CANARIAS;6570;1368;5202;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;CANTABRIA;2122;301;1821;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;CASTILLA Y LEON;6859;1406;5453;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;CASTILLA-LA MANCHA;6545;1212;5333;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;CATALUÑA;24210;4058;20152;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;EXTREMADURA;2566;350;2216;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;GALICIA;4702;911;3791;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;MADRID;18895;4544;14351;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;MURCIA;5195;957;4238;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;NAVARRA;1703;691;1012;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;LA RIOJA;967;165;802;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;CCAA;VALENCIA;25114;3618;21496;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;TTHH;ÁLAVA;696;79;617;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;TTHH;GIPUZKOA;1696;215;1481;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;TTHH;BIZKAIA;2646;369;2277;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Capitales de TTHH;Vitoria-Gasteiz;539;70;469;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Capitales de TTHH;Donostia-San Sebastián;378;49;329;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Capitales de TTHH;Bilbao;842;84;758;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Resto de TTHH;ARABA/ÁLAVA;156;11;145;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Resto de TTHH;GIPUZKOA;1307;161;1146;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Resto de TTHH;BIZKAIA;1703;266;1437;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Araba Erdialdea;607;73;534;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Enkarterri;54;1;53;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Goierri;134;2;132;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Bilbao Metropolitano;2112;269;1843;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Donostialdea-Bidasoa Behera;914;102;812;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Durangaldea;159;37;122;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Debabarrena;217;81;136;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Busturialdea-Artibai;114;32;82;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Arratia;23;1;22;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Arabako Errioxa;23;5;18;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Aiara;77;3;74;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Debagoiena;95;14;81;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Mungialdea;35;6;29;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
2023;T2;Num compraventas;Áreas funcionales;Tolosaldea;107;10;97;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
